,term,neutral_alternative
1129,soakman,
1130,socman,
1131,sokeman,
1132,songman,
1133,spademan,
1134,spadesman,
1135,spaewoman,
1136,spannerman,
1137,spearman,
1138,spearmanship,
1139,spearsman,
1140,speedboatman,
1141,spelterman,
1142,spoilsman,
1143,spokesman,
1144,spokesmanship,
1145,spokeswoman,
1146,spokeswomanship,
1147,sportsman,
1148,sportsmanlike,
1149,sportsmanliness,
1150,sportsmanly,
1151,sportsmanship,
1152,sportswoman,
1153,sportswomanly,
1154,sportswomanship,
1155,spotsman,
1156,spoutman,
1157,squareman,
1158,squeezeman,
1159,stableman,
1160,stackman,
1161,staffman,
1162,stageman,
1163,staithman,
1164,stallman,
1165,stampman,
1166,stampsman,
1167,starchman,
1168,statesman,
1169,statesmanese,
1170,statesmanlike,
1171,statesmanly,
1172,statesmanship,
1173,stateswoman,
1174,stationman,
1175,steadman,
1176,steamboatman,
1177,Stedman,
1178,steerman,
1179,steermanship,
1180,steersman,
1181,steerswoman,
1182,sternman,
1183,sternomancy,
1184,stichomancy,
1185,sticksmanship,
1186,stigonomancy,
1187,stileman,
1188,stillman,
1189,stockman,
1190,stoneman,
1191,storehouseman,
1192,storeman,
1193,storesman,
1194,stoveman,
1195,stowbordman,
1196,strainerman,
1197,straitsman,
1198,strawman,
1199,stretcherman,
1200,stretman,
1201,stringman,
1202,stringsman,
1203,strokesman,
1204,stuffgownsman,
1205,subchairman,
1206,subferryman,
1207,subforeman,
1208,subfreshman,
1209,subhuman,
1210,subman,
1211,subtacksman,
1212,subterhuman,
1213,subworkman,
1214,sudsman,
1215,sumpman,
1216,sundriesman,
1217,sundryman,
1218,superman,
1219,supermanhood,
1220,supermanism,
1221,supermanliness,
1222,supermanly,
1223,supermannish,
1224,supersalesman,
1225,superseaman,
1226,superstatesman,
1227,superwoman,
1228,surfaceman,
1229,surfboatman,
1230,surfman,
1231,surfmanship,
1232,Sussexman,
1233,swagman,
1234,swagsman,
1235,swellmobsman,
1236,switchman,
1237,swordfisherman,
1238,swordman,
1239,swordmanship,
1240,swordsman,
1241,swordsmanship,
1242,swordswoman,
1243,synodsman,
1244,sysselman,
1245,tableman,
1246,tackleman,
1247,tacksman,
1248,tailorman,
1249,tailsman,
1250,talesman,
1251,talisman,
1252,talismanic,
1253,tallowman,
1254,tallyman,
1255,tallymanship,
1256,tallywoman,
1257,tankman,
1258,tapeman,
1259,targeman,
1260,targetman,
1261,tarman,
1262,tartwoman,
1263,tatsman,
1264,taximan,
1265,taxman,
1266,teaman,
1267,teamman,
1268,teamsman,
1269,teatman,
1270,telpherman,
1271,teman,
1272,textman,
1273,theowman,
1274,thimbleman,
1275,thingman,
1276,thirdsman,
1277,thongman,
1278,thrasherman,
1279,thresherman,
1280,thwartman,
1281,tidesman,
1282,tiersman,
1283,tillerman,
1284,timberman,
1285,tineman,
1286,tinklerman,
1287,tinman,
1288,tinsman,
1289,tinwoman,
1290,tipman,
1291,tippleman,
1292,tireman,
1293,tirewoman,
1294,tithingman,
1295,titman,
1296,tobaccoman,
1297,tobyman,
1298,toddyman,
1299,toffeeman,
1300,toffyman,
1301,toftman,
1302,tollman,
1303,toman,
1304,tongman,
1305,tongsman,
1306,tongueman,
1307,tonguemanship,
1308,tonguesman,
1309,toolman,
1310,topman,
1311,topsman,
1312,torchman,
1313,totyman,
1314,towerman,
1315,townman,
1316,townsman,
1317,townswoman,
1318,toyman,
1319,toywoman,
1320,trackman,
1321,trackmanship,
1322,tradesman,
1323,tradesmanlike,
1324,tradesmanship,
1325,tradesmanwise,
1326,tradeswoman,
1327,trailman,
1328,trailsman,
